timestamp_ms,mPWM,sPWM,mESC,sESC,mRPM,sRPM,mHz,sHz
113136,0,0,1500,1500,0,0,0.0,0.0
113152,0,0,1500,1500,0,0,0.0,0.0
113167,0,0,1500,1500,0,0,0.0,0.0
113182,0,0,1500,1500,0,0,0.0,0.0
113197,0,0,1500,1500,0,0,0.0,0.0
113212,0,0,1500,1500,0,0,0.0,0.0
113227,0,0,1500,1500,0,0,0.0,0.0
113242,0,0,1500,1500,0,0,0.0,0.0
113257,0,0,1500,1500,0,0,0.0,0.0
113272,0,0,1500,1500,0,0,0.0,0.0
113287,0,0,1500,1500,0,0,0.0,0.0
113302,0,0,1500,1500,0,0,0.0,0.0
113317,0,0,1500,1500,0,0,0.0,0.0
113332,0,0,1500,1500,0,0,0.0,0.0
113347,0,0,1500,1500,0,0,0.0,0.0
113362,0,0,1500,1500,0,0,0.0,0.0
113377,0,0,1500,1500,0,0,0.0,0.0
113392,0,0,1500,1500,0,0,0.0,0.0
113408,0,0,1500,1500,0,0,0.0,0.0
113423,0,0,1500,1500,0,0,0.0,0.0
113438,0,0,1500,1500,0,0,0.0,0.0
113453,0,0,1500,1500,0,0,0.0,0.0
113468,0,0,1500,1500,0,0,0.0,0.0
113483,0,0,1500,1500,0,0,0.0,0.0
113498,0,0,1500,1500,0,0,0.0,0.0
113513,0,0,1500,1500,0,0,0.0,0.0
113528,0,0,1500,1500,0,0,0.0,0.0
113543,0,0,1500,1500,0,0,0.0,0.0
113558,0,0,1500,1500,0,0,0.0,0.0
113573,0,0,1500,1500,0,0,0.0,0.0
113588,0,0,1500,1500,0,0,0.0,0.0
113603,0,0,1500,1500,0,0,0.0,0.0
113618,0,0,1500,1500,0,0,0.0,0.0
113633,0,0,1500,1500,0,0,0.0,0.0
113648,0,0,1500,1500,0,0,0.0,0.0
113664,0,0,1500,1500,0,0,0.0,0.0
113679,0,0,1500,1500,0,0,0.0,0.0
113694,0,0,1500,1500,0,0,0.0,0.0
113709,0,0,1500,1500,0,0,0.0,0.0
113724,0,0,1500,1500,0,0,0.0,0.0
113739,0,0,1500,1500,0,0,0.0,0.0
113754,0,0,1500,1500,0,0,0.0,0.0
113769,0,0,1500,1500,0,0,0.0,0.0
113784,0,0,1500,1500,0,0,0.0,0.0
113799,0,0,1500,1500,0,0,0.0,0.0
113814,0,0,1500,1500,0,0,0.0,0.0
113829,0,0,1500,1500,0,0,0.0,0.0
113844,0,0,1500,1500,0,0,0.0,0.0
113859,0,0,1500,1500,0,0,0.0,0.0
113874,0,0,1500,1500,0,0,0.0,0.0
113889,0,0,1500,1500,0,0,0.0,0.0
113904,0,0,1500,1500,0,0,0.0,0.0
113920,0,0,1500,1500,0,0,0.0,0.0
113935,0,0,1500,1500,0,0,0.0,0.0
113950,0,0,1500,1500,0,0,0.0,0.0
113965,0,0,1500,1500,0,0,0.0,0.0
113980,0,0,1500,1500,0,0,0.0,0.0
113995,0,0,1500,1500,0,0,0.0,0.0
114010,0,0,1500,1500,0,0,0.0,0.0
114025,0,0,1500,1500,0,0,0.0,0.0
114040,0,0,1500,1500,0,0,0.0,0.0
114055,0,0,1500,1500,0,0,0.0,0.0
114070,0,0,1500,1500,0,0,0.0,0.0
114085,0,0,1500,1500,0,0,0.0,0.0
114100,0,0,1500,1500,0,0,0.0,0.0
114115,0,0,1500,1500,0,0,0.0,0.0
114130,0,0,1500,1500,0,0,0.0,0.0
114145,0,0,1500,1500,0,0,0.0,0.0
114160,0,0,1500,1500,0,0,0.0,0.0
114176,0,0,1500,1500,0,0,0.0,0.0
114191,0,0,1500,1500,0,0,0.0,0.0
114206,0,0,1500,1500,0,0,0.0,0.0
114221,0,0,1500,1500,0,0,0.0,0.0
114236,0,0,1500,1500,0,0,0.0,0.0
114251,0,0,1500,1500,0,0,0.0,0.0
114266,0,0,1500,1500,0,0,0.0,0.0
114281,0,0,1500,1500,0,0,0.0,0.0
114296,0,0,1500,1500,0,0,0.0,0.0
114311,0,0,1500,1500,0,0,0.0,0.0
114326,0,0,1500,1500,0,0,0.0,0.0
114341,0,0,1500,1500,0,0,0.0,0.0
114356,0,0,1500,1500,0,0,0.0,0.0
114371,0,0,1500,1500,0,0,0.0,0.0
114386,0,0,1500,1500,0,0,0.0,0.0
114401,0,0,1500,1500,0,0,0.0,0.0
114416,0,0,1500,1500,0,0,0.0,0.0
114432,0,0,1500,1500,0,0,0.0,0.0
114447,0,0,1500,1500,0,0,0.0,0.0
114462,0,0,1500,1500,0,0,0.0,0.0
114477,0,0,1500,1500,0,0,0.0,0.0
114492,0,0,1500,1500,0,0,0.0,0.0
114507,0,0,1500,1500,0,0,0.0,0.0
114522,0,0,1500,1500,0,0,0.0,0.0
114537,0,0,1500,1500,0,0,0.0,0.0
114552,0,0,1500,1500,0,0,0.0,0.0
114567,0,0,1500,1500,0,0,0.0,0.0
114582,0,0,1500,1500,0,0,0.0,0.0
114597,0,0,1500,1500,0,0,0.0,0.0
114612,0,0,1500,1500,0,0,0.0,0.0
114627,0,0,1500,1500,0,0,0.0,0.0
114642,0,0,1500,1500,0,0,0.0,0.0
114657,0,0,1500,1500,0,0,0.0,0.0
114672,0,0,1500,1500,0,0,0.0,0.0
114688,0,0,1500,1500,0,0,0.0,0.0
114703,0,0,1500,1500,0,0,0.0,0.0
114718,0,0,1500,1500,0,0,0.0,0.0
114733,0,0,1500,1500,0,0,0.0,0.0
114748,0,0,1500,1500,0,0,0.0,0.0
114763,0,0,1500,1500,0,0,0.0,0.0
114778,0,0,1500,1500,0,0,0.0,0.0
114793,0,0,1500,1500,0,0,0.0,0.0
114808,0,0,1500,1500,0,0,0.0,0.0
114823,0,0,1500,1500,0,0,0.0,0.0
114838,0,0,1500,1500,0,0,0.0,0.0
114853,0,0,1500,1500,0,0,0.0,0.0
114868,0,0,1500,1500,0,0,0.0,0.0
114883,0,0,1500,1500,0,0,0.0,0.0
114898,0,0,1500,1500,0,0,0.0,0.0
114913,0,0,1500,1500,0,0,0.0,0.0
114928,0,0,1500,1500,0,0,0.0,0.0
114944,0,0,1500,1500,0,0,0.0,0.0
114959,0,0,1500,1500,0,0,0.0,0.0
114974,0,0,1500,1500,0,0,0.0,0.0
114989,0,0,1500,1500,0,0,0.0,0.0
115004,0,0,1500,1500,0,0,0.0,0.0
115019,0,0,1500,1500,0,0,0.0,0.0
115034,0,0,1500,1500,0,0,0.0,0.0
115049,0,0,1500,1500,0,0,0.0,0.0
115064,0,0,1500,1500,0,0,0.0,0.0
115079,0,0,1500,1500,0,0,0.0,0.0
115094,0,0,1500,1500,0,0,0.0,0.0
115109,0,0,1500,1500,0,0,0.0,0.0
115124,0,0,1500,1500,0,0,0.0,0.0
115139,0,0,1500,1500,0,0,0.0,0.0
115154,0,0,1500,1500,0,0,0.0,0.0
115169,0,0,1500,1500,0,0,0.0,0.0
115184,0,0,1500,1500,0,0,0.0,0.0
115200,0,0,1500,1500,0,0,0.0,0.0
115215,0,0,1500,1500,0,0,0.0,0.0
115230,0,0,1500,1500,0,0,0.0,0.0
115245,0,0,1500,1500,0,0,0.0,0.0
115260,0,0,1500,1500,0,0,0.0,0.0
115275,0,0,1500,1500,0,0,0.0,0.0
115290,0,0,1500,1500,0,0,0.0,0.0
115305,0,0,1500,1500,0,0,0.0,0.0
115320,0,0,1500,1500,0,0,0.0,0.0
115335,0,0,1500,1500,0,0,0.0,0.0
115350,0,0,1500,1500,0,0,0.0,0.0
115365,0,0,1500,1500,0,0,0.0,0.0
115380,0,0,1500,1500,0,0,0.0,0.0
115395,0,0,1500,1500,0,0,0.0,0.0
115410,0,0,1500,1500,0,0,0.0,0.0
115425,0,0,1500,1500,0,0,0.0,0.0
115440,0,0,1500,1500,0,0,0.0,0.0
115456,0,0,1500,1500,0,0,0.0,0.0
115471,0,0,1500,1500,0,0,0.0,0.0
115486,0,0,1500,1500,0,0,0.0,0.0
115501,0,0,1500,1500,0,0,0.0,0.0
115516,0,0,1500,1500,0,0,0.0,0.0
115531,0,0,1500,1500,0,0,0.0,0.0
115546,0,0,1500,1500,0,0,0.0,0.0
115561,0,0,1500,1500,0,0,0.0,0.0
115576,0,0,1500,1500,0,0,0.0,0.0
115591,0,0,1500,1500,0,0,0.0,0.0
115606,0,0,1500,1500,0,0,0.0,0.0
115621,0,0,1500,1500,0,0,0.0,0.0
115636,0,0,1500,1500,0,0,0.0,0.0
115651,0,0,1500,1500,0,0,0.0,0.0
115666,0,0,1500,1500,0,0,0.0,0.0
115681,0,0,1500,1500,0,0,0.0,0.0
115696,0,0,1500,1500,0,0,0.0,0.0
115712,0,0,1500,1500,0,0,0.0,0.0
115727,0,0,1500,1500,0,0,0.0,0.0
115742,0,0,1500,1500,0,0,0.0,0.0
115757,0,0,1500,1500,0,0,0.0,0.0
115772,0,0,1500,1500,0,0,0.0,0.0
115787,0,0,1500,1500,0,0,0.0,0.0
115802,0,0,1500,1500,0,0,0.0,0.0
115817,0,0,1500,1500,0,0,0.0,0.0
115832,0,0,1500,1500,0,0,0.0,0.0
115847,0,0,1500,1500,0,0,0.0,0.0
115862,0,0,1500,1500,0,0,0.0,0.0
115877,0,0,1500,1500,0,0,0.0,0.0
115892,0,0,1500,1500,0,0,0.0,0.0
115907,0,0,1500,1500,0,0,0.0,0.0
115922,0,0,1500,1500,0,0,0.0,0.0
115937,0,0,1500,1500,0,0,0.0,0.0
115952,0,0,1500,1500,0,0,0.0,0.0
115968,0,0,1500,1500,0,0,0.0,0.0
115983,0,0,1500,1500,0,0,0.0,0.0
115998,0,0,1500,1500,0,0,0.0,0.0
116013,0,0,1500,1500,0,0,0.0,0.0
