timestamp_ms,mPWM,sPWM,mESC,sESC,mRPM,sRPM,mHz,sHz
156090,0,0,1500,1500,0,0,0.0,0.0
156100,0,0,1500,1500,0,0,0.0,0.0
156110,0,0,1500,1500,0,0,0.0,0.0
156120,0,0,1500,1500,0,0,0.0,0.0
156130,0,0,1500,1500,0,0,0.0,0.0
156140,0,0,1500,1500,0,0,0.0,0.0
156150,0,0,1500,1500,0,0,0.0,0.0
156160,0,0,1500,1500,0,0,0.0,0.0
156170,0,0,1500,1500,0,0,0.0,0.0
156180,0,0,1500,1500,0,0,0.0,0.0
156190,0,0,1500,1500,0,0,0.0,0.0
156200,0,0,1500,1500,0,0,0.0,0.0
156210,0,0,1500,1500,0,0,0.0,0.0
156220,0,0,1500,1500,0,0,0.0,0.0
156230,0,0,1500,1500,0,0,0.0,0.0
156240,0,0,1500,1500,0,0,0.0,0.0
156250,0,0,1500,1500,0,0,0.0,0.0
156260,0,0,1500,1500,0,0,0.0,0.0
156270,0,0,1500,1500,0,0,0.0,0.0
156280,0,0,1500,1500,0,0,0.0,0.0
156290,0,0,1500,1500,0,0,0.0,0.0
156300,0,0,1500,1500,0,0,0.0,0.0
156310,0,0,1500,1500,0,0,0.0,0.0
156320,0,0,1500,1500,0,0,0.0,0.0
156331,0,0,1500,1500,0,0,0.0,0.0
156341,0,0,1500,1500,0,0,0.0,0.0
156351,0,0,1500,1500,0,0,0.0,0.0
156361,0,0,1500,1500,0,0,0.0,0.0
156371,0,0,1500,1500,0,0,0.0,0.0
156381,0,0,1500,1500,0,0,0.0,0.0
156391,0,0,1500,1500,0,0,0.0,0.0
156401,0,0,1500,1500,0,0,0.0,0.0
156411,0,0,1500,1500,0,0,0.0,0.0
156421,0,0,1500,1500,0,0,0.0,0.0
156431,0,0,1500,1500,0,0,0.0,0.0
156441,0,0,1500,1500,0,0,0.0,0.0
156451,0,0,1500,1500,0,0,0.0,0.0
156461,0,0,1500,1500,0,0,0.0,0.0
156471,0,0,1500,1500,0,0,0.0,0.0
156481,0,0,1500,1500,0,0,0.0,0.0
156491,0,0,1500,1500,0,0,0.0,0.0
156502,0,0,1500,1500,0,0,0.0,0.0
156512,0,0,1500,1500,0,0,0.0,0.0
156522,0,0,1500,1500,0,0,0.0,0.0
156532,0,0,1500,1500,0,0,0.0,0.0
156542,0,0,1500,1500,0,0,0.0,0.0
156552,0,0,1500,1500,0,0,0.0,0.0
156562,0,0,1500,1500,0,0,0.0,0.0
156572,0,0,1500,1500,0,0,0.0,0.0
156582,0,0,1500,1500,0,0,0.0,0.0
156592,0,0,1500,1500,0,0,0.0,0.0
156602,0,0,1500,1500,0,0,0.0,0.0
156612,0,0,1500,1500,0,0,0.0,0.0
156622,0,0,1500,1500,0,0,0.0,0.0
156632,0,0,1500,1500,0,0,0.0,0.0
156642,0,0,1500,1500,0,0,0.0,0.0
156652,0,0,1500,1500,0,0,0.0,0.0
156662,0,0,1500,1500,0,0,0.0,0.0
156672,0,0,1500,1500,0,0,0.0,0.0
156682,0,0,1500,1500,0,0,0.0,0.0
156692,0,0,1500,1500,0,0,0.0,0.0
156702,0,0,1500,1500,0,0,0.0,0.0
156712,0,0,1500,1500,0,0,0.0,0.0
156722,0,0,1500,1500,0,0,0.0,0.0
156732,0,0,1500,1500,0,0,0.0,0.0
156742,0,0,1500,1500,0,0,0.0,0.0
156752,0,0,1500,1500,0,0,0.0,0.0
156762,0,0,1500,1500,0,0,0.0,0.0
156772,0,0,1500,1500,0,0,0.0,0.0
156782,0,0,1500,1500,0,0,0.0,0.0
156792,0,0,1500,1500,0,0,0.0,0.0
156802,0,0,1500,1500,0,0,0.0,0.0
156812,0,0,1500,1500,0,0,0.0,0.0
156822,0,0,1500,1500,0,0,0.0,0.0
156832,0,0,1500,1500,0,0,0.0,0.0
156843,0,0,1500,1500,0,0,0.0,0.0
156853,0,0,1500,1500,0,0,0.0,0.0
156863,0,0,1500,1500,0,0,0.0,0.0
156873,0,0,1500,1500,0,0,0.0,0.0
156883,0,0,1500,1500,0,0,0.0,0.0
156893,0,0,1500,1500,0,0,0.0,0.0
156903,0,0,1500,1500,0,0,0.0,0.0
156913,0,0,1500,1500,0,0,0.0,0.0
156923,0,0,1500,1500,0,0,0.0,0.0
156933,0,0,1500,1500,0,0,0.0,0.0
156943,0,0,1500,1500,0,0,0.0,0.0
156953,0,0,1500,1500,0,0,0.0,0.0
156963,0,0,1500,1500,0,0,0.0,0.0
156973,0,0,1500,1500,0,0,0.0,0.0
156983,0,0,1500,1500,0,0,0.0,0.0
156993,0,0,1500,1500,0,0,0.0,0.0
157003,0,0,1500,1500,0,0,0.0,0.0
157014,0,0,1500,1500,0,0,0.0,0.0
157024,0,0,1500,1500,0,0,0.0,0.0
157034,0,0,1500,1500,0,0,0.0,0.0
157044,0,0,1500,1500,0,0,0.0,0.0
157054,0,0,1500,1500,0,0,0.0,0.0
157064,0,0,1500,1500,0,0,0.0,0.0
157074,0,0,1500,1500,0,0,0.0,0.0
157084,0,0,1500,1500,0,0,0.0,0.0
157094,0,0,1500,1500,0,0,0.0,0.0
157104,0,0,1500,1500,0,0,0.0,0.0
157114,0,0,1500,1500,0,0,0.0,0.0
157124,0,0,1500,1500,0,0,0.0,0.0
157134,0,0,1500,1500,0,0,0.0,0.0
157144,0,0,1500,1500,0,0,0.0,0.0
157154,0,0,1500,1500,0,0,0.0,0.0
157164,0,0,1500,1500,0,0,0.0,0.0
157174,0,0,1500,1500,0,0,0.0,0.0
157184,0,0,1500,1500,0,0,0.0,0.0
157194,0,0,1500,1500,0,0,0.0,0.0
157204,0,0,1500,1500,0,0,0.0,0.0
157214,0,0,1500,1500,0,0,0.0,0.0
157224,0,0,1500,1500,0,0,0.0,0.0
157234,0,0,1500,1500,0,0,0.0,0.0
157244,0,0,1500,1500,0,0,0.0,0.0
157254,0,0,1500,1500,0,0,0.0,0.0
157264,0,0,1500,1500,0,0,0.0,0.0
157274,0,0,1500,1500,0,0,0.0,0.0
157284,0,0,1500,1500,0,0,0.0,0.0
157294,0,0,1500,1500,0,0,0.0,0.0
157304,0,0,1500,1500,0,0,0.0,0.0
157314,0,0,1500,1500,0,0,0.0,0.0
157324,0,0,1500,1500,0,0,0.0,0.0
157334,0,0,1500,1500,0,0,0.0,0.0
157344,0,0,1500,1500,0,0,0.0,0.0
157355,0,0,1500,1500,0,0,0.0,0.0
157365,0,0,1500,1500,0,0,0.0,0.0
157375,0,0,1500,1500,0,0,0.0,0.0
157385,0,0,1500,1500,0,0,0.0,0.0
157395,0,0,1500,1500,0,0,0.0,0.0
157405,0,0,1500,1500,0,0,0.0,0.0
157415,0,0,1500,1500,0,0,0.0,0.0
157425,0,0,1500,1500,0,0,0.0,0.0
157435,0,0,1500,1500,0,0,0.0,0.0
157445,0,0,1500,1500,0,0,0.0,0.0
157455,0,0,1500,1500,0,0,0.0,0.0
157465,0,0,1500,1500,0,0,0.0,0.0
157475,0,0,1500,1500,0,0,0.0,0.0
157485,0,0,1500,1500,0,0,0.0,0.0
157495,0,0,1500,1500,0,0,0.0,0.0
157505,0,0,1500,1500,0,0,0.0,0.0
157515,0,0,1500,1500,0,0,0.0,0.0
157526,0,0,1500,1500,0,0,0.0,0.0
157536,0,0,1500,1500,0,0,0.0,0.0
157546,0,0,1500,1500,0,0,0.0,0.0
157556,0,0,1500,1500,0,0,0.0,0.0
157566,0,0,1500,1500,0,0,0.0,0.0
157576,0,0,1500,1500,0,0,0.0,0.0
157586,0,0,1500,1500,0,0,0.0,0.0
157596,0,0,1500,1500,0,0,0.0,0.0
157606,0,0,1500,1500,0,0,0.0,0.0
157616,0,0,1500,1500,0,0,0.0,0.0
157626,0,0,1500,1500,0,0,0.0,0.0
157636,0,0,1500,1500,0,0,0.0,0.0
157646,0,0,1500,1500,0,0,0.0,0.0
157656,0,0,1500,1500,0,0,0.0,0.0
157666,0,0,1500,1500,0,0,0.0,0.0
157676,0,0,1500,1500,0,0,0.0,0.0
157686,0,0,1500,1500,0,0,0.0,0.0
157696,0,0,1500,1500,0,0,0.0,0.0
157706,0,0,1500,1500,0,0,0.0,0.0
157716,0,0,1500,1500,0,0,0.0,0.0
157726,0,0,1500,1500,0,0,0.0,0.0
157736,0,0,1500,1500,0,0,0.0,0.0
157746,0,0,1500,1500,0,0,0.0,0.0
157756,0,0,1500,1500,0,0,0.0,0.0
157766,0,0,1500,1500,0,0,0.0,0.0
157776,0,0,1500,1500,0,0,0.0,0.0
157786,0,0,1500,1500,0,0,0.0,0.0
157796,0,0,1500,1500,0,0,0.0,0.0
157806,0,0,1500,1500,0,0,0.0,0.0
157816,0,0,1500,1500,0,0,0.0,0.0
157826,0,0,1500,1500,0,0,0.0,0.0
157836,0,0,1500,1500,0,0,0.0,0.0
157846,0,0,1500,1500,0,0,0.0,0.0
