timestamp_ms,mPWM,sPWM,mESC,sESC,mRPM,sRPM,mHz,sHz
247130,0,0,1500,1500,0,0,0.0,0.0
247145,0,0,1500,1500,0,0,0.0,0.0
247160,0,0,1500,1500,0,0,0.0,0.0
247175,0,0,1500,1500,0,0,0.0,0.0
247190,0,0,1500,1500,0,0,0.0,0.0
247205,0,0,1500,1500,0,0,0.0,0.0
247220,0,0,1500,1500,0,0,0.0,0.0
247235,0,0,1500,1500,0,0,0.0,0.0
247250,0,0,1500,1500,0,0,0.0,0.0
247265,0,0,1500,1500,0,0,0.0,0.0
247280,0,0,1500,1500,0,0,0.0,0.0
247296,0,0,1500,1500,0,0,0.0,0.0
247311,0,0,1500,1500,0,0,0.0,0.0
247326,0,0,1500,1500,0,0,0.0,0.0
247341,0,0,1500,1500,0,0,0.0,0.0
247356,0,0,1500,1500,0,0,0.0,0.0
247371,0,0,1500,1500,0,0,0.0,0.0
247386,0,0,1500,1500,0,0,0.0,0.0
247401,0,0,1500,1500,0,0,0.0,0.0
247416,0,0,1500,1500,0,0,0.0,0.0
247431,0,0,1500,1500,0,0,0.0,0.0
247446,0,0,1500,1500,0,0,0.0,0.0
247461,0,0,1500,1500,0,0,0.0,0.0
247476,0,0,1500,1500,0,0,0.0,0.0
247491,0,0,1500,1500,0,0,0.0,0.0
247506,0,0,1500,1500,0,0,0.0,0.0
247521,0,0,1500,1500,0,0,0.0,0.0
247536,0,0,1500,1500,0,0,0.0,0.0
247552,0,0,1500,1500,0,0,0.0,0.0
247567,0,0,1500,1500,0,0,0.0,0.0
247582,0,0,1500,1500,0,0,0.0,0.0
247597,0,0,1500,1500,0,0,0.0,0.0
247612,0,0,1500,1500,0,0,0.0,0.0
247627,0,0,1500,1500,0,0,0.0,0.0
247642,0,0,1500,1500,0,0,0.0,0.0
247657,0,0,1500,1500,0,0,0.0,0.0
247672,0,0,1500,1500,0,0,0.0,0.0
247687,0,0,1500,1500,0,0,0.0,0.0
247702,0,0,1500,1500,0,0,0.0,0.0
247717,0,0,1500,1500,0,0,0.0,0.0
247732,0,0,1500,1500,0,0,0.0,0.0
247747,0,0,1500,1500,0,0,0.0,0.0
247762,0,0,1500,1500,0,0,0.0,0.0
247777,0,0,1500,1500,0,0,0.0,0.0
247792,0,0,1500,1500,0,0,0.0,0.0
247808,0,0,1500,1500,0,0,0.0,0.0
247823,0,0,1500,1500,0,0,0.0,0.0
247838,0,0,1500,1500,0,0,0.0,0.0
247853,0,0,1500,1500,0,0,0.0,0.0
247868,0,0,1500,1500,0,0,0.0,0.0
247883,0,0,1500,1500,0,0,0.0,0.0
247898,0,0,1500,1500,0,0,0.0,0.0
247913,0,0,1500,1500,0,0,0.0,0.0
247928,0,0,1500,1500,0,0,0.0,0.0
247943,0,0,1500,1500,0,0,0.0,0.0
247958,0,0,1500,1500,0,0,0.0,0.0
247973,0,0,1500,1500,0,0,0.0,0.0
247988,0,0,1500,1500,0,0,0.0,0.0
248003,0,0,1500,1500,0,0,0.0,0.0
248018,0,0,1500,1500,0,0,0.0,0.0
248033,0,0,1500,1500,0,0,0.0,0.0
248048,0,0,1500,1500,0,0,0.0,0.0
248064,0,0,1500,1500,0,0,0.0,0.0
248079,0,0,1500,1500,0,0,0.0,0.0
248094,0,0,1500,1500,0,0,0.0,0.0
248109,0,0,1500,1500,0,0,0.0,0.0
248124,0,0,1500,1500,0,0,0.0,0.0
248139,0,0,1500,1500,0,0,0.0,0.0
248154,0,0,1500,1500,0,0,0.0,0.0
248169,0,0,1500,1500,0,0,0.0,0.0
248184,0,0,1500,1500,0,0,0.0,0.0
248199,0,0,1500,1500,0,0,0.0,0.0
248214,0,0,1500,1500,0,0,0.0,0.0
248229,0,0,1500,1500,0,0,0.0,0.0
248244,0,0,1500,1500,0,0,0.0,0.0
248259,0,0,1500,1500,0,0,0.0,0.0
248274,0,0,1500,1500,0,0,0.0,0.0
248289,0,0,1500,1500,0,0,0.0,0.0
248304,0,0,1500,1500,0,0,0.0,0.0
248320,0,0,1500,1500,0,0,0.0,0.0
248335,0,0,1500,1500,0,0,0.0,0.0
248350,0,0,1500,1500,0,0,0.0,0.0
248365,0,0,1500,1500,0,0,0.0,0.0
248380,0,0,1500,1500,0,0,0.0,0.0
248395,0,0,1500,1500,0,0,0.0,0.0
248410,0,0,1500,1500,0,0,0.0,0.0
248425,0,0,1500,1500,0,0,0.0,0.0
248440,0,0,1500,1500,0,0,0.0,0.0
248455,0,0,1500,1500,0,0,0.0,0.0
248470,0,0,1500,1500,0,0,0.0,0.0
248485,0,0,1500,1500,0,0,0.0,0.0
248500,0,0,1500,1500,0,0,0.0,0.0
248515,0,0,1500,1500,0,0,0.0,0.0
248530,0,0,1500,1500,0,0,0.0,0.0
248545,200,0,1500,1500,-4,0,0.0,0.0
248560,200,200,1500,1500,-13,-1,0.0,0.0
248576,200,200,1500,1500,-23,-16,0.0,0.0
248591,200,200,1500,1500,-23,-22,0.0,0.0
248606,200,200,1500,1500,-28,-28,0.0,0.0
248621,200,200,1500,1500,-28,-28,0.0,0.0
248636,200,200,1500,1500,-25,-26,0.0,0.0
248651,200,200,1500,1500,-25,-29,0.0,0.0
248666,200,200,1500,1500,-24,-29,0.0,0.0
248681,200,200,1500,1500,-29,-28,0.0,0.0
248696,200,200,1500,1500,-28,-32,0.0,0.0
248711,200,200,1500,1500,-29,-32,0.0,0.0
248726,200,200,1500,1500,-30,-30,0.0,0.0
248741,200,200,1500,1500,-30,-32,0.0,0.0
248756,200,200,1500,1500,-29,-33,0.0,0.0
248771,200,200,1500,1500,-32,-30,0.0,0.0
248786,200,200,1500,1500,-30,-33,0.0,0.0
248801,200,200,1500,1500,-29,-35,0.0,0.0
248816,200,200,1500,1500,-32,-36,0.0,0.0
248832,200,200,1500,1500,-29,-35,0.0,0.0
248847,200,200,1500,1500,-33,-33,0.0,0.0
248862,200,200,1500,1500,-33,-36,0.0,0.0
248877,200,200,1500,1500,-35,-38,0.0,0.0
248892,200,200,1500,1500,-35,-39,0.0,0.0
248907,200,200,1500,1500,-36,-38,0.0,0.0
248922,200,200,1500,1500,-36,-39,0.0,0.0
248937,200,200,1500,1500,-35,-36,0.0,0.0
248952,200,200,1500,1500,-36,-39,0.0,0.0
248967,200,200,1500,1500,-33,-41,0.0,0.0
248982,200,200,1500,1500,-36,-35,0.0,0.0
248997,200,200,1500,1500,-36,-41,0.0,0.0
249012,200,200,1500,1500,-32,-38,0.0,0.0
249027,200,200,1500,1500,-36,-41,0.0,0.0
249042,200,200,1500,1500,-38,-39,0.0,0.0
249057,200,200,1500,1500,-33,-42,0.0,0.0
249072,200,200,1500,1500,-36,-35,0.0,0.0
249088,200,200,1500,1500,-36,-39,0.0,0.0
249103,200,200,1500,1500,-33,-41,0.0,0.0
249118,200,200,1500,1500,-35,-39,0.0,0.0
249133,200,200,1500,1500,-38,-39,0.0,0.0
249148,200,200,1500,1500,-35,-35,0.0,0.0
249163,200,200,1500,1500,-36,-39,0.0,0.0
249178,200,200,1500,1500,-32,-38,0.0,0.0
249193,200,200,1500,1500,-35,-34,0.0,0.0
249208,200,200,1500,1500,-35,-39,0.0,0.0
249223,200,200,1500,1500,-36,-38,0.0,0.0
249238,200,200,1500,1500,-36,-33,0.0,0.0
249253,200,200,1500,1500,-38,-39,0.0,0.0
249268,200,200,1500,1500,-30,-39,0.0,0.0
249283,200,200,1500,1500,-36,-33,0.0,0.0
249298,200,200,1500,1500,-36,-38,0.0,0.0
249313,200,200,1500,1500,-33,-41,0.0,0.0
249328,200,200,1500,1500,-38,-39,0.0,0.0
249344,200,200,1500,1500,-38,-41,0.0,0.0
249359,200,200,1500,1500,-38,-35,0.0,0.0
249374,200,200,1500,1500,-38,-41,0.0,0.0
249389,200,200,1500,1500,-39,-41,0.0,0.0
249404,200,200,1500,1500,-33,-41,0.0,0.0
249419,200,200,1500,1500,-36,-41,0.0,0.0
249434,200,200,1500,1500,-38,-41,0.0,0.0
249449,200,200,1500,1500,-35,-36,0.0,0.0
249464,200,200,1500,1500,-38,-39,0.0,0.0
249479,200,200,1500,1500,-32,-38,0.0,0.0
249494,200,200,1500,1500,-38,-35,0.0,0.0
249509,200,200,1500,1500,-35,-38,0.0,0.0
249524,200,200,1500,1500,-32,-38,0.0,0.0
249539,200,200,1500,1500,-33,-38,0.0,0.0
249554,200,200,1500,1500,-33,-38,0.0,0.0
249569,200,200,1500,1500,-32,-38,0.0,0.0
249584,200,200,1500,1500,-35,-33,0.0,0.0
249600,200,200,1500,1500,-36,-39,0.0,0.0
249615,200,200,1500,1500,-33,-38,0.0,0.0
249630,200,200,1500,1500,-36,-41,0.0,0.0
249645,200,200,1500,1500,-36,-38,0.0,0.0
249660,200,200,1500,1500,-35,-35,0.0,0.0
249675,200,200,1500,1500,-36,-39,0.0,0.0
249690,200,200,1500,1500,-32,-39,0.0,0.0
249705,200,200,1500,1500,-38,-34,0.0,0.0
249720,200,200,1500,1500,-38,-38,0.0,0.0
249735,200,200,1500,1500,-36,-41,0.0,0.0
249750,200,200,1500,1500,-38,-36,0.0,0.0
249765,200,200,1500,1500,-38,-39,0.0,0.0
249780,200,200,1500,1500,-32,-38,0.0,0.0
249795,200,200,1500,1500,-36,-36,0.0,0.0
249810,200,200,1500,1500,-36,-41,0.0,0.0
249825,200,200,1500,1500,-32,-39,0.0,0.0
249840,200,200,1500,1500,-36,-41,0.0,0.0
249856,200,200,1500,1500,-32,-39,0.0,0.0
249871,200,200,1500,1500,-36,-38,0.0,0.0
249886,200,200,1500,1500,-35,-41,0.0,0.0
249901,200,200,1500,1500,-36,-41,0.0,0.0
249916,200,200,1500,1500,-36,-39,0.0,0.0
249931,200,200,1500,1500,-36,-39,0.0,0.0
249946,200,200,1500,1500,-36,-41,0.0,0.0
249961,200,200,1500,1500,-35,-36,0.0,0.0
249976,200,200,1500,1500,-36,-39,0.0,0.0
249991,200,200,1500,1500,-32,-41,0.0,0.0
250006,200,200,1500,1500,-36,-35,0.0,0.0
250021,200,200,1500,1500,-35,-38,0.0,0.0
250036,200,200,1500,1500,-33,-38,0.0,0.0
250051,200,200,1500,1500,-36,-38,0.0,0.0
250066,200,200,1500,1500,-36,-39,0.0,0.0
250081,200,200,1500,1500,-33,-39,0.0,0.0
250096,200,200,1500,1500,-38,-36,0.0,0.0
250112,200,200,1500,1500,-38,-39,0.0,0.0
250127,200,200,1500,1500,-33,-41,0.0,0.0
250142,200,200,1500,1500,-36,-41,0.0,0.0
250157,200,200,1500,1500,-33,-39,0.0,0.0
250172,200,200,1500,1500,-38,-36,0.0,0.0
250187,200,200,1500,1500,-39,-41,0.0,0.0
250202,200,200,1500,1500,-33,-41,0.0,0.0
250217,200,200,1500,1500,-39,-37,0.0,0.0
250232,200,200,1500,1500,-39,-41,0.0,0.0
250247,200,200,1500,1500,-39,-39,0.0,0.0
250262,200,200,1500,1500,-36,-38,0.0,0.0
250277,200,200,1500,1500,-38,-39,0.0,0.0
250292,200,200,1500,1500,-32,-41,0.0,0.0
250307,200,200,1500,1500,-36,-33,0.0,0.0
250322,200,200,1500,1500,-35,-38,0.0,0.0
250337,200,200,1500,1500,-32,-38,0.0,0.0
250352,200,200,1500,1500,-35,-39,0.0,0.0
250368,200,200,1500,1500,-35,-39,0.0,0.0
250383,200,200,1500,1500,-35,-36,0.0,0.0
250398,200,200,1500,1500,-36,-39,0.0,0.0
250413,200,200,1500,1500,-35,-41,0.0,0.0
250428,200,200,1500,1500,-32,-39,0.0,0.0
250443,200,200,1500,1500,-35,-39,0.0,0.0
250458,200,200,1500,1500,-36,-41,0.0,0.0
250473,200,200,1500,1500,-35,-36,0.0,0.0
250488,200,200,1500,1500,-38,-38,0.0,0.0
250503,200,200,1500,1500,-33,-38,0.0,0.0
250518,200,200,1500,1500,-38,-36,0.0,0.0
250533,200,200,1500,1500,-38,-41,0.0,0.0
250548,200,200,1500,1500,-34,-41,0.0,0.0
250563,200,200,1500,1500,-38,-39,0.0,0.0
250578,200,200,1500,1500,-39,-41,0.0,0.0
250593,200,200,1500,1500,-33,-39,0.0,0.0
250608,200,200,1500,1500,-38,-36,0.0,0.0
250624,200,200,1500,1500,-38,-41,0.0,0.0
250639,200,200,1500,1500,-36,-41,0.0,0.0
250654,200,200,1500,1500,-38,-39,0.0,0.0
250669,200,200,1500,1500,-38,-41,0.0,0.0
250684,200,200,1500,1500,-38,-35,0.0,0.0
250699,200,200,1500,1500,-38,-41,0.0,0.0
250714,200,200,1500,1500,-33,-38,0.0,0.0
250729,200,200,1500,1500,-39,-37,0.0,0.0
250744,200,200,1500,1500,-36,-38,0.0,0.0
250759,200,200,1500,1500,-36,-39,0.0,0.0
250774,200,200,1500,1500,-36,-35,0.0,0.0
250789,200,200,1500,1500,-36,-38,0.0,0.0
250804,200,200,1500,1500,-32,-36,0.0,0.0
250819,200,200,1500,1500,-35,-35,0.0,0.0
250834,200,200,1500,1500,-35,-38,0.0,0.0
250849,200,200,1500,1500,-30,-36,0.0,0.0
250864,200,200,1500,1500,-33,-38,0.0,0.0
250880,200,200,1500,1500,-30,-38,0.0,0.0
250895,200,200,1500,1500,-32,-35,0.0,0.0
250910,200,200,1500,1500,-33,-38,0.0,0.0
250925,200,200,1500,1500,-33,-38,0.0,0.0
250940,200,200,1500,1500,-36,-39,0.0,0.0
250955,200,200,1500,1500,-36,-38,0.0,0.0
250970,200,200,1500,1500,-36,-41,0.0,0.0
250985,200,200,1500,1500,-35,-38,0.0,0.0
251000,200,200,1500,1500,-36,-38,0.0,0.0
251015,200,200,1500,1500,-33,-39,0.0,0.0
251030,200,200,1500,1500,-36,-36,0.0,0.0
251045,200,200,1500,1500,-36,-39,0.0,0.0
251060,200,200,1500,1500,-34,-41,0.0,0.0
251075,200,200,1500,1500,-36,-39,0.0,0.0
251090,200,200,1500,1500,-38,-39,0.0,0.0
251105,200,200,1500,1500,-33,-41,0.0,0.0
251120,200,200,1500,1500,-35,-35,0.0,0.0
251136,200,200,1500,1500,-36,-39,0.0,0.0
251151,200,200,1500,1500,-36,-39,0.0,0.0
251166,200,200,1500,1500,-35,-39,0.0,0.0
251181,200,200,1500,1500,-35,-41,0.0,0.0
251196,200,200,1500,1500,-35,-36,0.0,0.0
251211,200,200,1500,1500,-36,-39,0.0,0.0
251226,200,200,1500,1500,-33,-39,0.0,0.0
251241,200,200,1500,1500,-35,-37,0.0,0.0
251256,200,200,1500,1500,-36,-41,0.0,0.0
251271,200,200,1500,1500,-38,-39,0.0,0.0
251286,200,200,1500,1500,-38,-36,0.0,0.0
251301,200,200,1500,1500,-38,-39,0.0,0.0
251316,200,200,1500,1500,-33,-39,0.0,0.0
251331,200,200,1500,1500,-38,-36,0.0,0.0
251346,200,200,1500,1500,-36,-39,0.0,0.0
251361,200,200,1500,1500,-35,-41,0.0,0.0
251376,200,200,1500,1500,-38,-41,0.0,0.0
251392,200,200,1500,1500,-32,-41,0.0,0.0
251407,200,200,1500,1500,-36,-38,0.0,0.0
251422,200,200,1500,1500,-36,-38,0.0,0.0
251437,200,200,1500,1500,-36,-38,0.0,0.0
251452,200,200,1500,1500,-32,-39,0.0,0.0
251467,200,200,1500,1500,-35,-39,0.0,0.0
251482,200,200,1500,1500,-36,-41,0.0,0.0
251497,200,200,1500,1500,-35,-36,0.0,0.0
251512,200,200,1500,1500,-36,-41,0.0,0.0
251527,200,200,1500,1500,-33,-41,0.0,0.0
251542,200,200,1500,1500,-36,-36,0.0,0.0
251557,200,200,1500,1500,-35,-41,0.0,0.0
251572,200,200,1500,1500,-33,-39,0.0,0.0
251587,200,200,1500,1500,-36,-41,0.0,0.0
251602,200,200,1500,1500,-38,-38,0.0,0.0
251617,200,200,1500,1500,-33,-41,0.0,0.0
251632,200,200,1500,1500,-35,-35,0.0,0.0
251648,200,200,1500,1500,-36,-39,0.0,0.0
251663,200,200,1500,1500,-32,-39,0.0,0.0
251678,200,200,1500,1500,-35,-39,0.0,0.0
251693,200,200,1500,1500,-36,-39,0.0,0.0
251708,200,200,1500,1500,-36,-35,0.0,0.0
251723,200,200,1500,1500,-36,-41,0.0,0.0
251738,200,200,1500,1500,-33,-39,0.0,0.0
251753,200,200,1500,1500,-38,-36,0.0,0.0
251768,200,200,1500,1500,-38,-41,0.0,0.0
251783,200,200,1500,1500,-39,-39,0.0,0.0
251798,200,200,1500,1500,-38,-36,0.0,0.0
251813,200,200,1500,1500,-38,-41,0.0,0.0
251828,200,200,1500,1500,-33,-41,0.0,0.0
251843,200,200,1500,1500,-38,-35,0.0,0.0
251858,200,200,1500,1500,-38,-39,0.0,0.0
251873,200,200,1500,1500,-35,-39,0.0,0.0
251888,200,200,1500,1500,-38,-39,0.0,0.0
