timestamp_ms,mPWM,sPWM,mESC,sESC,mRPM,sRPM,mHz,sHz
13733,0,0,1500,1500,0,0,0.00,0.00
13748,0,0,1500,1500,0,0,0.00,0.00
13763,0,0,1500,1500,0,0,0.00,0.00
13778,0,0,1500,1500,0,0,0.00,0.00
13793,0,0,1500,1500,0,0,0.00,0.00
13808,0,0,1500,1500,0,0,0.00,0.00
13824,0,0,1500,1500,0,0,0.00,0.00
13839,0,0,1500,1500,0,0,0.00,0.00
13854,0,0,1500,1500,0,0,0.00,0.00
13869,0,0,1500,1500,0,0,0.00,0.00
13884,0,0,1500,1500,0,0,0.00,0.00
13899,0,0,1500,1500,0,0,0.00,0.00
13914,0,0,1500,1500,0,0,0.00,0.00
13929,0,0,1500,1500,0,0,0.00,0.00
13944,0,0,1500,1500,0,0,0.00,0.00
13959,0,0,1500,1500,0,0,0.00,0.00
13974,0,0,1500,1500,0,0,0.00,0.00
13989,0,0,1500,1500,0,0,0.00,0.00
14004,0,0,1500,1500,0,0,0.00,0.00
14019,0,0,1500,1500,0,0,0.00,0.00
14034,0,0,1500,1500,0,0,0.00,0.00
14049,0,0,1500,1500,0,0,0.00,0.00
14064,0,0,1500,1500,0,0,0.00,0.00
14080,0,0,1500,1500,0,0,0.00,0.00
14095,0,0,1500,1500,0,0,0.00,0.00
14110,0,0,1500,1500,0,0,0.00,0.00
14125,0,0,1500,1500,0,0,0.00,0.00
14140,0,0,1500,1500,0,0,0.00,0.00
14155,0,0,1500,1500,0,0,0.00,0.00
14170,0,0,1500,1500,0,0,0.00,0.00
14185,0,0,1500,1500,0,0,0.00,0.00
14200,0,0,1500,1500,0,0,0.00,0.00
14215,0,0,1500,1500,0,0,0.00,0.00
14230,0,0,1500,1500,0,0,0.00,0.00
14245,0,0,1500,1500,0,0,0.00,0.00
14260,0,0,1500,1500,0,0,0.00,0.00
14275,0,0,1500,1500,0,0,0.00,0.00
14290,0,0,1500,1500,0,0,0.00,0.00
14305,0,0,1500,1500,0,0,0.00,0.00
14320,0,0,1500,1500,0,0,0.00,0.00
14336,0,0,1500,1500,0,0,0.00,0.00
14351,0,0,1500,1500,0,0,0.00,0.00
14366,0,0,1500,1500,0,0,0.00,0.00
14381,0,0,1500,1500,0,0,0.00,0.00
14396,0,0,1500,1500,0,0,0.00,0.00
14411,0,0,1500,1500,0,0,0.00,0.00
14426,0,0,1500,1500,0,0,0.00,0.00
14441,0,0,1500,1500,0,0,0.00,0.00
14456,0,0,1500,1500,0,0,0.00,0.00
14471,0,0,1500,1500,0,0,0.00,0.00
14486,0,0,1500,1500,0,0,0.00,0.00
14501,0,0,1500,1500,0,0,0.00,0.00
14516,0,0,1500,1500,0,0,0.00,0.00
14531,0,0,1500,1500,0,0,0.00,0.00
14546,0,0,1500,1500,0,0,0.00,0.00
14561,0,0,1500,1500,0,0,0.00,0.00
14576,0,0,1500,1500,0,0,0.00,0.00
14592,0,0,1500,1500,0,0,0.00,0.00
14607,0,0,1500,1500,0,0,0.00,0.00
14622,0,0,1500,1500,0,0,0.00,0.00
14637,0,0,1500,1500,0,0,0.00,0.00
14652,0,0,1500,1500,0,0,0.00,0.00
14667,0,0,1500,1500,0,0,0.00,0.00
14682,0,0,1500,1500,0,0,0.00,0.00
14697,0,0,1500,1500,0,0,0.00,0.00
14712,0,0,1500,1500,0,0,0.00,0.00
14727,0,0,1500,1500,0,0,0.00,0.00
14742,0,0,1500,1500,0,0,0.00,0.00
14757,0,0,1500,1500,0,0,0.00,0.00
14772,0,0,1500,1500,0,0,0.00,0.00
14787,0,0,1500,1500,0,0,0.00,0.00
14802,0,0,1500,1500,0,0,0.00,0.00
14817,0,0,1500,1500,0,0,0.00,0.00
14832,0,0,1500,1500,0,0,0.00,0.00
14848,0,0,1500,1500,0,0,0.00,0.00
14863,0,0,1500,1500,0,0,0.00,0.00
14878,0,0,1500,1500,0,0,0.00,0.00
14893,0,0,1500,1500,0,0,0.00,0.00
14908,0,0,1500,1500,0,0,0.00,0.00
14923,0,0,1500,1500,0,0,0.00,0.00
14938,0,0,1500,1500,0,0,0.00,0.00
14953,0,0,1500,1500,0,0,0.00,0.00
14968,0,0,1500,1500,0,0,0.00,0.00
14983,0,0,1500,1500,0,0,0.00,0.00
14998,0,0,1500,1500,0,0,0.00,0.00
15013,0,0,1500,1500,0,0,0.00,0.00
15028,0,0,1500,1500,0,0,0.00,0.00
15043,0,0,1500,1500,0,0,0.00,0.00
15058,0,0,1500,1500,0,0,0.00,0.00
