timestamp_ms,mPWM,sPWM,mESC,sESC,mRPM,sRPM,mHz,sHz
56049,-150,-150,1500,1500,26,28,0.0,0.0
56059,-150,-150,1500,1500,26,26,0.0,0.0
56069,-150,-150,1500,1500,23,23,0.0,0.0
56079,-150,-150,1500,1500,23,28,0.0,0.0
56089,-150,-150,1500,1500,26,28,0.0,0.0
56099,-150,-150,1500,1500,26,26,0.0,0.0
56109,-150,-150,1500,1500,25,23,0.0,0.0
56119,-150,-150,1500,1500,25,28,0.0,0.0
56129,-150,-150,1500,1500,25,26,0.0,0.0
56139,-150,-150,1500,1500,26,26,0.0,0.0
56150,-150,-150,1500,1500,25,23,0.0,0.0
56160,-150,-150,1500,1500,25,28,0.0,0.0
56170,-150,-150,1500,1500,25,26,0.0,0.0
56180,-150,-150,1500,1500,26,28,0.0,0.0
56190,-150,-150,1500,1500,25,28,0.0,0.0
56200,-150,-150,1500,1500,23,23,0.0,0.0
56210,-150,-150,1500,1500,23,26,0.0,0.0
56220,-150,-150,1500,1500,26,26,0.0,0.0
56230,-150,-150,1500,1500,25,26,0.0,0.0
56240,-150,-150,1500,1500,25,26,0.0,0.0
56250,-150,-150,1500,1500,25,26,0.0,0.0
56260,-150,-150,1500,1500,25,26,0.0,0.0
56270,-150,-150,1500,1500,26,28,0.0,0.0
56280,-150,-150,1500,1500,26,25,0.0,0.0
56290,-150,-150,1500,1500,25,26,0.0,0.0
56300,-150,-150,1500,1500,26,26,0.0,0.0
56310,-150,-150,1500,1500,26,26,0.0,0.0
56320,-150,-150,1500,1500,26,25,0.0,0.0
56330,-150,-150,1500,1500,25,26,0.0,0.0
56340,-150,-150,1500,1500,25,28,0.0,0.0
56350,-150,-150,1500,1500,23,28,0.0,0.0
56360,-150,-150,1500,1500,23,28,0.0,0.0
56370,-150,-150,1500,1500,26,23,0.0,0.0
56380,-150,-150,1500,1500,23,28,0.0,0.0
56390,-150,-150,1500,1500,23,28,0.0,0.0
56400,-150,-150,1500,1500,26,26,0.0,0.0
56410,-150,-150,1500,1500,25,23,0.0,0.0
56420,-150,-150,1500,1500,25,26,0.0,0.0
56430,-150,-150,1500,1500,25,26,0.0,0.0
56440,-150,-150,1500,1500,25,28,0.0,0.0
56450,-150,-150,1500,1500,25,25,0.0,0.0
56460,-150,-150,1500,1500,23,26,0.0,0.0
56470,-150,-150,1500,1500,25,26,0.0,0.0
56480,-150,-150,1500,1500,25,28,0.0,0.0
56491,-150,-150,1500,1500,26,25,0.0,0.0
56501,-150,-150,1500,1500,24,26,0.0,0.0
56511,-150,-150,1500,1500,25,30,0.0,0.0
56521,-150,-150,1500,1500,25,28,0.0,0.0
56531,-150,-150,1500,1500,25,30,0.0,0.0
56541,-150,-150,1500,1500,25,26,0.0,0.0
56551,-150,-150,1500,1500,23,30,0.0,0.0
56561,-150,-150,1500,1500,25,28,0.0,0.0
56571,-150,-150,1500,1500,26,28,0.0,0.0
56581,-150,-150,1500,1500,26,26,0.0,0.0
56591,-150,-150,1500,1500,25,29,0.0,0.0
56601,-150,-150,1500,1500,28,29,0.0,0.0
56611,-150,-150,1500,1500,26,26,0.0,0.0
56621,-150,-150,1500,1500,26,26,0.0,0.0
56631,-150,-150,1500,1500,26,26,0.0,0.0
56641,-150,-150,1500,1500,28,29,0.0,0.0
56651,-150,-150,1500,1500,28,26,0.0,0.0
56662,-150,-150,1500,1500,28,26,0.0,0.0
56672,-150,-150,1500,1500,25,29,0.0,0.0
56682,-150,-150,1500,1500,25,29,0.0,0.0
56692,-150,-150,1500,1500,26,29,0.0,0.0
56702,-150,-150,1500,1500,23,28,0.0,0.0
56712,-150,-150,1500,1500,26,25,0.0,0.0
56722,-150,-150,1500,1500,25,29,0.0,0.0
56732,-150,-150,1500,1500,28,29,0.0,0.0
56742,-150,-150,1500,1500,28,28,0.0,0.0
56752,-150,-150,1500,1500,26,25,0.0,0.0
56762,-150,-150,1500,1500,26,29,0.0,0.0
56772,-150,-150,1500,1500,26,26,0.0,0.0
56782,-150,-150,1500,1500,26,29,0.0,0.0
56792,-150,-150,1500,1500,26,25,0.0,0.0
56802,-150,-150,1500,1500,25,28,0.0,0.0
56812,-150,-150,1500,1500,28,29,0.0,0.0
56822,-150,-150,1500,1500,28,29,0.0,0.0
56832,-150,-150,1500,1500,26,26,0.0,0.0
56842,-150,-150,1500,1500,23,29,0.0,0.0
56852,-150,-150,1500,1500,28,28,0.0,0.0
56862,-150,-150,1500,1500,28,28,0.0,0.0
56872,-150,-150,1500,1500,28,29,0.0,0.0
56882,-150,-150,1500,1500,29,26,0.0,0.0
56892,-150,-150,1500,1500,26,28,0.0,0.0
56902,-150,-150,1500,1500,26,28,0.0,0.0
56912,-150,-150,1500,1500,29,29,0.0,0.0
56922,-150,-150,1500,1500,28,23,0.0,0.0
56932,-150,-150,1500,1500,26,29,0.0,0.0
56942,-150,-150,1500,1500,28,29,0.0,0.0
56952,-150,-150,1500,1500,28,28,0.0,0.0
56962,-150,-150,1500,1500,25,26,0.0,0.0
56972,-150,-150,1500,1500,25,28,0.0,0.0
56982,-150,-150,1500,1500,28,29,0.0,0.0
56992,-150,-150,1500,1500,26,28,0.0,0.0
57003,-150,-150,1500,1500,26,25,0.0,0.0
57013,-150,-150,1500,1500,24,29,0.0,0.0
57023,-150,-150,1500,1500,26,29,0.0,0.0
57033,-150,-150,1500,1500,26,29,0.0,0.0
57043,-150,-150,1500,1500,26,29,0.0,0.0
57053,-150,-150,1500,1500,26,23,0.0,0.0
57063,-150,-150,1500,1500,26,29,0.0,0.0
57073,-150,-150,1500,1500,26,28,0.0,0.0
57083,-150,-150,1500,1500,28,28,0.0,0.0
57093,-150,-150,1500,1500,28,26,0.0,0.0
57103,-150,-150,1500,1500,26,29,0.0,0.0
57113,-150,-150,1500,1500,26,29,0.0,0.0
57123,-150,-150,1500,1500,28,28,0.0,0.0
57133,-150,-150,1500,1500,28,25,0.0,0.0
57143,-150,-150,1500,1500,25,29,0.0,0.0
57153,-150,-150,1500,1500,25,29,0.0,0.0
57163,-150,-150,1500,1500,26,28,0.0,0.0
57174,-150,-150,1500,1500,24,25,0.0,0.0
57184,-150,-150,1500,1500,24,29,0.0,0.0
57194,-150,-150,1500,1500,26,28,0.0,0.0
57204,-150,-150,1500,1500,25,28,0.0,0.0
57214,-150,-150,1500,1500,25,28,0.0,0.0
57224,-150,-150,1500,1500,23,25,0.0,0.0
57234,-150,-150,1500,1500,23,28,0.0,0.0
57244,-150,-150,1500,1500,28,28,0.0,0.0
57254,-150,-150,1500,1500,25,28,0.0,0.0
57264,-150,-150,1500,1500,23,25,0.0,0.0
57274,-150,-150,1500,1500,23,29,0.0,0.0
57284,-150,-150,1500,1500,26,28,0.0,0.0
57294,-150,-150,1500,1500,26,28,0.0,0.0
57304,-150,-150,1500,1500,26,25,0.0,0.0
57314,-150,-150,1500,1500,23,28,0.0,0.0
57324,-150,-150,1500,1500,26,29,0.0,0.0
57334,-150,-150,1500,1500,26,26,0.0,0.0
57344,-150,-150,1500,1500,23,26,0.0,0.0
57354,-150,-150,1500,1500,25,28,0.0,0.0
57364,-150,-150,1500,1500,25,28,0.0,0.0
57374,-150,-150,1500,1500,25,28,0.0,0.0
57384,-150,-150,1500,1500,25,28,0.0,0.0
57394,-150,-150,1500,1500,25,23,0.0,0.0
57404,-150,-150,1500,1500,23,26,0.0,0.0
57414,-150,-150,1500,1500,25,29,0.0,0.0
57424,-150,-150,1500,1500,25,26,0.0,0.0
57434,-150,-150,1500,1500,23,25,0.0,0.0
57444,-150,-150,1500,1500,23,28,0.0,0.0
57454,-150,-150,1500,1500,26,26,0.0,0.0
57464,-150,-150,1500,1500,26,26,0.0,0.0
57474,-150,-150,1500,1500,23,23,0.0,0.0
57484,-150,-150,1500,1500,25,26,0.0,0.0
57494,-150,-150,1500,1500,25,25,0.0,0.0
57504,-150,-150,1500,1500,26,25,0.0,0.0
57515,-150,-150,1500,1500,21,24,0.0,0.0
57525,-150,-150,1500,1500,21,26,0.0,0.0
57535,-150,-150,1500,1500,25,26,0.0,0.0
57545,-150,-150,1500,1500,25,26,0.0,0.0
57555,-150,-150,1500,1500,25,25,0.0,0.0
57565,-150,-150,1500,1500,26,23,0.0,0.0
57575,-150,-150,1500,1500,25,25,0.0,0.0
57585,-150,-150,1500,1500,25,26,0.0,0.0
57595,-150,-150,1500,1500,25,26,0.0,0.0
57605,-150,-150,1500,1500,23,23,0.0,0.0
57615,-150,-150,1500,1500,23,26,0.0,0.0
57625,-150,-150,1500,1500,26,26,0.0,0.0
57635,-150,-150,1500,1500,25,26,0.0,0.0
57645,-150,-150,1500,1500,25,23,0.0,0.0
57655,-150,-150,1500,1500,26,26,0.0,0.0
57665,-150,-150,1500,1500,26,26,0.0,0.0
57675,-150,-150,1500,1500,26,26,0.0,0.0
57686,-150,-150,1500,1500,26,23,0.0,0.0
57696,-150,-150,1500,1500,22,26,0.0,0.0
57706,-150,-150,1500,1500,25,26,0.0,0.0
57716,-150,-150,1500,1500,23,26,0.0,0.0
57726,-150,-150,1500,1500,23,26,0.0,0.0
57736,-150,-150,1500,1500,22,23,0.0,0.0
57746,-150,-150,1500,1500,23,26,0.0,0.0
57756,-150,-150,1500,1500,23,26,0.0,0.0
57766,-150,-150,1500,1500,25,26,0.0,0.0
57776,-150,-150,1500,1500,25,25,0.0,0.0
57786,-150,-150,1500,1500,23,25,0.0,0.0
57796,-150,-150,1500,1500,26,26,0.0,0.0
57806,-150,-150,1500,1500,26,26,0.0,0.0
57816,-150,-150,1500,1500,22,25,0.0,0.0
57826,-150,-150,1500,1500,22,28,0.0,0.0
57836,-150,-150,1500,1500,25,26,0.0,0.0
57846,-150,-150,1500,1500,25,26,0.0,0.0
57856,-150,-150,1500,1500,22,24,0.0,0.0
57866,-150,-150,1500,1500,22,28,0.0,0.0
57876,-150,-150,1500,1500,23,28,0.0,0.0
57886,-150,-150,1500,1500,23,28,0.0,0.0
57896,-150,-150,1500,1500,26,28,0.0,0.0
57906,-150,-150,1500,1500,26,25,0.0,0.0
57916,-150,-150,1500,1500,23,28,0.0,0.0
57926,-150,-150,1500,1500,25,29,0.0,0.0
57936,-150,-150,1500,1500,25,26,0.0,0.0
57946,-150,-150,1500,1500,26,26,0.0,0.0
57956,-150,-150,1500,1500,26,26,0.0,0.0
57966,-150,-150,1500,1500,26,28,0.0,0.0
57976,-150,-150,1500,1500,26,28,0.0,0.0
57986,-150,-150,1500,1500,26,26,0.0,0.0
57996,-150,-150,1500,1500,25,26,0.0,0.0
58006,-150,-150,1500,1500,25,28,0.0,0.0
58016,-150,-150,1500,1500,26,28,0.0,0.0
58027,-150,-150,1500,1500,22,24,0.0,0.0
58037,-150,-150,1500,1500,22,28,0.0,0.0
58047,-150,-150,1500,1500,26,28,0.0,0.0
58057,-150,-150,1500,1500,25,26,0.0,0.0
58067,-150,-150,1500,1500,26,28,0.0,0.0
58077,-150,-150,1500,1500,25,25,0.0,0.0
58087,-150,-150,1500,1500,23,26,0.0,0.0
58097,-150,-150,1500,1500,23,26,0.0,0.0
58107,-150,-150,1500,1500,25,26,0.0,0.0
58117,-150,-150,1500,1500,23,25,0.0,0.0
58127,-150,-150,1500,1500,23,26,0.0,0.0
58137,-150,-150,1500,1500,26,28,0.0,0.0
