timestamp_ms,mPWM,sPWM,mESC,sESC,mRPM,sRPM,mHz,sHz
52163,0,0,1500,1500,0,0,0.0,0.0
52178,0,0,1500,1500,0,0,0.0,0.0
52193,0,0,1500,1500,0,0,0.0,0.0
52208,0,0,1500,1500,0,0,0.0,0.0
52224,0,0,1500,1500,0,0,0.0,0.0
52239,0,0,1500,1500,0,0,0.0,0.0
52254,0,0,1500,1500,0,0,0.0,0.0
52269,0,0,1500,1500,0,0,0.0,0.0
52284,0,0,1500,1500,0,0,0.0,0.0
52299,0,0,1500,1500,0,0,0.0,0.0
52314,0,0,1500,1500,0,0,0.0,0.0
52329,0,0,1500,1500,0,0,0.0,0.0
52344,0,0,1500,1500,0,0,0.0,0.0
52359,0,0,1500,1500,0,0,0.0,0.0
52374,0,0,1500,1500,0,0,0.0,0.0
52389,0,0,1500,1500,0,0,0.0,0.0
52404,0,0,1500,1500,0,0,0.0,0.0
52419,0,0,1500,1500,0,0,0.0,0.0
52434,0,0,1500,1500,0,0,0.0,0.0
52449,0,0,1500,1500,0,0,0.0,0.0
52464,0,0,1500,1500,0,0,0.0,0.0
52480,0,0,1500,1500,0,0,0.0,0.0
52495,0,0,1500,1500,0,0,0.0,0.0
52510,0,0,1500,1500,0,0,0.0,0.0
52525,0,0,1500,1500,0,0,0.0,0.0
52540,0,0,1500,1500,0,0,0.0,0.0
52555,0,0,1500,1500,0,0,0.0,0.0
52570,0,0,1500,1500,0,0,0.0,0.0
52585,0,0,1500,1500,0,0,0.0,0.0
52600,0,0,1500,1500,0,0,0.0,0.0
52615,0,0,1500,1500,0,0,0.0,0.0
52630,0,0,1500,1500,0,0,0.0,0.0
52645,0,0,1500,1500,0,0,0.0,0.0
52660,0,0,1500,1500,0,0,0.0,0.0
52675,0,0,1500,1500,0,0,0.0,0.0
52690,0,0,1500,1500,0,0,0.0,0.0
52705,0,0,1500,1500,0,0,0.0,0.0
52720,0,0,1500,1500,0,0,0.0,0.0
52736,0,0,1500,1500,0,0,0.0,0.0
52751,0,0,1500,1500,0,0,0.0,0.0
52766,0,0,1500,1500,0,0,0.0,0.0
52781,0,0,1500,1500,0,0,0.0,0.0
52796,0,0,1500,1500,0,0,0.0,0.0
52811,0,0,1500,1500,0,0,0.0,0.0
52826,0,0,1500,1500,0,0,0.0,0.0
52841,0,0,1500,1500,0,0,0.0,0.0
52856,0,0,1500,1500,0,0,0.0,0.0
52871,0,0,1500,1500,0,0,0.0,0.0
52886,0,0,1500,1500,0,0,0.0,0.0
52901,0,0,1500,1500,0,0,0.0,0.0
52916,0,0,1500,1500,0,0,0.0,0.0
52931,0,0,1500,1500,0,0,0.0,0.0
52946,0,0,1500,1500,0,0,0.0,0.0
52961,0,0,1500,1500,0,0,0.0,0.0
52976,0,0,1500,1500,0,0,0.0,0.0
52992,0,0,1500,1500,0,0,0.0,0.0
53007,0,0,1500,1500,0,0,0.0,0.0
53022,0,0,1500,1500,0,0,0.0,0.0
53037,0,0,1500,1500,0,0,0.0,0.0
53052,0,0,1500,1500,0,0,0.0,0.0
53067,0,0,1500,1500,0,0,0.0,0.0
53082,0,0,1500,1500,0,0,0.0,0.0
53097,0,0,1500,1500,0,0,0.0,0.0
53112,0,0,1500,1500,0,0,0.0,0.0
53127,0,0,1500,1500,0,0,0.0,0.0
53142,0,0,1500,1500,0,0,0.0,0.0
53157,0,0,1500,1500,0,0,0.0,0.0
53172,0,0,1500,1500,0,0,0.0,0.0
53187,0,0,1500,1500,0,0,0.0,0.0
53202,0,0,1500,1500,0,0,0.0,0.0
53217,0,0,1500,1500,0,0,0.0,0.0
53232,0,0,1500,1500,0,0,0.0,0.0
53248,0,0,1500,1500,0,0,0.0,0.0
53263,0,0,1500,1500,0,0,0.0,0.0
53278,0,0,1500,1500,0,0,0.0,0.0
53293,0,0,1500,1500,0,0,0.0,0.0
53308,0,0,1500,1500,0,0,0.0,0.0
53323,0,0,1500,1500,0,0,0.0,0.0
53338,0,0,1500,1500,0,0,0.0,0.0
53353,0,0,1500,1500,0,0,0.0,0.0
53368,0,0,1500,1500,0,0,0.0,0.0
53383,0,0,1500,1500,0,0,0.0,0.0
53398,0,0,1500,1500,0,0,0.0,0.0
53413,180,0,1500,1500,-2,0,0.0,0.0
53428,180,180,1500,1500,-8,-2,0.0,0.0
53443,180,180,1500,1500,-19,-14,0.0,0.0
53458,180,180,1500,1500,-20,-16,0.0,0.0
53473,180,180,1500,1500,-20,-23,0.0,0.0
53488,180,180,1500,1500,-22,-22,0.0,0.0
53504,180,180,1500,1500,-23,-25,0.0,0.0
53519,180,180,1500,1500,-20,-25,0.0,0.0
53534,180,180,1500,1500,-25,-25,0.0,0.0
53549,180,180,1500,1500,-23,-26,0.0,0.0
