timestamp_ms,mPWM,sPWM,mESC,sESC,mRPM,sRPM,mHz,sHz
421345,0,0,1500,1500,0,0,0.0,0.0
421360,0,0,1500,1500,0,0,0.0,0.0
421376,0,0,1500,1500,0,0,0.0,0.0
421391,0,0,1500,1500,0,0,0.0,0.0
421406,0,0,1500,1500,0,0,0.0,0.0
421421,0,0,1500,1500,0,0,0.0,0.0
421436,0,0,1500,1500,0,0,0.0,0.0
421451,0,0,1500,1500,0,0,0.0,0.0
421466,0,0,1500,1500,0,0,0.0,0.0
421481,0,0,1500,1500,0,0,0.0,0.0
421496,0,0,1500,1500,0,0,0.0,0.0
421511,0,0,1500,1500,0,0,0.0,0.0
421526,0,0,1500,1500,0,0,0.0,0.0
421541,0,0,1500,1500,0,0,0.0,0.0
421556,0,0,1500,1500,0,0,0.0,0.0
421571,0,0,1500,1500,0,0,0.0,0.0
421586,0,0,1500,1500,0,0,0.0,0.0
421601,0,0,1500,1500,0,0,0.0,0.0
421616,0,0,1500,1500,0,0,0.0,0.0
421632,0,0,1500,1500,0,0,0.0,0.0
421647,0,0,1500,1500,0,0,0.0,0.0
421662,0,0,1500,1500,0,0,0.0,0.0
421677,0,0,1500,1500,0,0,0.0,0.0
421692,0,0,1500,1500,0,0,0.0,0.0
421707,0,0,1500,1500,0,0,0.0,0.0
421722,0,0,1500,1500,0,0,0.0,0.0
421737,0,0,1500,1500,0,0,0.0,0.0
421752,0,0,1500,1500,0,0,0.0,0.0
421767,0,0,1500,1500,0,0,0.0,0.0
421782,0,0,1500,1500,0,0,0.0,0.0
421797,0,0,1500,1500,0,0,0.0,0.0
421812,0,0,1500,1500,0,0,0.0,0.0
421827,0,0,1500,1500,0,0,0.0,0.0
421842,0,0,1500,1500,0,0,0.0,0.0
421857,0,0,1500,1500,0,0,0.0,0.0
421872,0,0,1500,1500,0,0,0.0,0.0
421888,0,0,1500,1500,0,0,0.0,0.0
421903,0,0,1500,1500,0,0,0.0,0.0
421918,0,0,1500,1500,0,0,0.0,0.0
421933,0,0,1500,1500,0,0,0.0,0.0
421948,0,0,1500,1500,0,0,0.0,0.0
421963,0,0,1500,1500,0,0,0.0,0.0
421978,0,0,1500,1500,0,0,0.0,0.0
421993,0,0,1500,1500,0,0,0.0,0.0
422008,0,0,1500,1500,0,0,0.0,0.0
422023,0,0,1500,1500,0,0,0.0,0.0
422038,0,0,1500,1500,0,0,0.0,0.0
422053,0,0,1500,1500,0,0,0.0,0.0
422068,0,0,1500,1500,0,0,0.0,0.0
422083,0,0,1500,1500,0,0,0.0,0.0
422098,0,0,1500,1500,0,0,0.0,0.0
422113,0,0,1500,1500,0,0,0.0,0.0
422128,0,0,1500,1500,0,0,0.0,0.0
422144,0,0,1500,1500,0,0,0.0,0.0
422159,0,0,1500,1500,0,0,0.0,0.0
422174,0,0,1500,1500,0,0,0.0,0.0
422189,0,0,1500,1500,0,0,0.0,0.0
422204,0,0,1500,1500,0,0,0.0,0.0
422219,0,0,1500,1500,0,0,0.0,0.0
422234,0,0,1500,1500,0,0,0.0,0.0
422249,0,0,1500,1500,0,0,0.0,0.0
422264,0,0,1500,1500,0,0,0.0,0.0
422279,0,0,1500,1500,0,0,0.0,0.0
422294,0,0,1500,1500,0,0,0.0,0.0
422309,0,0,1500,1500,0,0,0.0,0.0
422324,0,0,1500,1500,0,0,0.0,0.0
422339,0,0,1500,1500,0,0,0.0,0.0
422354,0,0,1500,1500,0,0,0.0,0.0
422369,0,0,1500,1500,0,0,0.0,0.0
422384,0,0,1500,1500,0,0,0.0,0.0
422400,0,0,1500,1500,0,0,0.0,0.0
422415,0,0,1500,1500,0,0,0.0,0.0
422430,0,0,1500,1500,0,0,0.0,0.0
422445,0,0,1500,1500,0,0,0.0,0.0
422460,0,0,1500,1500,0,0,0.0,0.0
422475,0,0,1500,1500,0,0,0.0,0.0
422490,0,0,1500,1500,0,0,0.0,0.0
422505,0,0,1500,1500,0,0,0.0,0.0
422520,0,0,1500,1500,0,0,0.0,0.0
422535,220,0,1500,1500,-4,0,0.0,0.0
422550,220,220,1500,1500,-16,-1,0.0,0.0
422565,220,220,1500,1500,-28,-20,0.0,0.0
422580,220,220,1500,1500,-28,-23,0.0,0.0
422595,220,220,1500,1500,-35,-32,0.0,0.0
422610,220,220,1500,1500,-36,-33,0.0,0.0
422625,220,220,1500,1500,-33,-36,0.0,0.0
422640,220,220,1500,1500,-36,-33,0.0,0.0
422656,220,220,1500,1500,-36,-36,0.0,0.0
422671,220,220,1500,1500,-30,-36,0.0,0.0
422686,220,220,1500,1500,-33,-38,0.0,0.0
422701,220,220,1500,1500,-33,-36,0.0,0.0
422716,220,220,1500,1500,-35,-35,0.0,0.0
422731,220,220,1500,1500,-35,-38,0.0,0.0
422746,220,220,1500,1500,-32,-38,0.0,0.0
422761,220,220,1500,1500,-33,-34,0.0,0.0
422776,220,220,1500,1500,-35,-39,0.0,0.0
422791,220,220,1500,1500,-33,-38,0.0,0.0
422806,220,220,1500,1500,-35,-35,0.0,0.0
422821,220,220,1500,1500,-36,-41,0.0,0.0
422836,220,220,1500,1500,-33,-38,0.0,0.0
422851,220,220,1500,1500,-36,-38,0.0,0.0
422866,220,220,1500,1500,-38,-39,0.0,0.0
422881,220,220,1500,1500,-33,-42,0.0,0.0
422896,220,220,1500,1500,-38,-42,0.0,0.0
422912,220,220,1500,1500,-38,-42,0.0,0.0
422927,220,220,1500,1500,-38,-41,0.0,0.0
422942,220,220,1500,1500,-39,-41,0.0,0.0
422957,220,220,1500,1500,-41,-44,0.0,0.0
422972,220,220,1500,1500,-38,-42,0.0,0.0
422987,220,220,1500,1500,-42,-44,0.0,0.0
423002,220,220,1500,1500,-42,-44,0.0,0.0
423017,220,220,1500,1500,-41,-42,0.0,0.0
423032,220,220,1500,1500,-44,-45,0.0,0.0
423047,220,220,1500,1500,-36,-44,0.0,0.0
423062,220,220,1500,1500,-41,-39,0.0,0.0
423077,220,220,1500,1500,-39,-44,0.0,0.0
423092,220,220,1500,1500,-37,-44,0.0,0.0
423107,220,220,1500,1500,-39,-44,0.0,0.0
423122,220,220,1500,1500,-38,-42,0.0,0.0
423137,220,220,1500,1500,-33,-42,0.0,0.0
423152,220,220,1500,1500,-38,-38,0.0,0.0
423168,220,220,1500,1500,-38,-42,0.0,0.0
423183,220,220,1500,1500,-35,-41,0.0,0.0
423198,220,220,1500,1500,-38,-42,0.0,0.0
423213,220,220,1500,1500,-39,-42,0.0,0.0
423228,220,220,1500,1500,-38,-38,0.0,0.0
423243,220,220,1500,1500,-39,-42,0.0,0.0
423258,220,220,1500,1500,-36,-44,0.0,0.0
423273,220,220,1500,1500,-39,-37,0.0,0.0
423288,220,220,1500,1500,-39,-41,0.0,0.0
423303,220,220,1500,1500,-41,-44,0.0,0.0
423318,220,220,1500,1500,-39,-38,0.0,0.0
423333,220,220,1500,1500,-41,-44,0.0,0.0
423348,220,220,1500,1500,-36,-45,0.0,0.0
423363,220,220,1500,1500,-41,-38,0.0,0.0
423378,220,220,1500,1500,-41,-44,0.0,0.0
423393,220,220,1500,1500,-38,-44,0.0,0.0
423408,220,220,1500,1500,-41,-42,0.0,0.0
423424,220,220,1500,1500,-36,-42,0.0,0.0
423439,220,220,1500,1500,-42,-38,0.0,0.0
423454,220,220,1500,1500,-41,-44,0.0,0.0
423469,220,220,1500,1500,-42,-44,0.0,0.0
423484,220,220,1500,1500,-35,-44,0.0,0.0
423499,220,220,1500,1500,-38,-44,0.0,0.0
423514,220,220,1500,1500,-39,-42,0.0,0.0
